snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,sync_spread_ms,connected,health
51,2026-09-25T09:45:08.649658+00:00,83,0,83,0,2026-09-25T11:14:14.344095+00:00,2026-09-25T11:14:14.432100+00:00,88.005,True,ok
54,2026-09-25T09:45:09.776942+00:00,83,0,83,0,2026-09-25T11:14:15.467159+00:00,2026-09-25T11:14:15.559164+00:00,92.00500000000001,True,ok
56,2026-09-25T09:45:10.600206+00:00,83,0,83,0,2026-09-25T11:14:16.294206+00:00,2026-09-25T11:14:16.382211+00:00,88.005,True,ok
59,2026-09-25T09:45:11.649965+00:00,83,0,83,0,2026-09-25T11:14:17.335266+00:00,2026-09-25T11:14:17.432271+00:00,97.005,True,ok
62,2026-09-25T09:45:12.739535+00:00,83,0,83,0,2026-09-25T11:14:18.429328+00:00,2026-09-25T11:14:18.521334+00:00,92.006,True,ok
65,2026-09-25T09:45:13.821664+00:00,83,0,83,0,2026-09-25T11:14:19.502390+00:00,2026-09-25T11:14:19.603396+00:00,101.006,True,ok
67,2026-09-25T09:45:14.622335+00:00,83,0,83,0,2026-09-25T11:14:20.236432+00:00,2026-09-25T11:14:20.404441+00:00,168.009,True,ok
70,2026-09-25T09:45:15.652675+00:00,83,0,83,0,2026-09-25T11:14:21.343495+00:00,2026-09-25T11:14:21.434500+00:00,91.005,True,ok
73,2026-09-25T09:45:16.739610+00:00,83,0,83,0,2026-09-25T11:14:22.427557+00:00,2026-09-25T11:14:22.521563+00:00,94.006,True,ok
76,2026-09-25T09:45:17.852877+00:00,83,0,83,0,2026-09-25T11:14:23.543621+00:00,2026-09-25T11:14:23.634626+00:00,91.005,True,ok
78,2026-09-25T09:45:18.611168+00:00,83,0,83,0,2026-09-25T11:14:24.300664+00:00,2026-09-25T11:14:24.392670+00:00,92.006,True,ok
81,2026-09-25T09:45:19.797369+00:00,83,0,83,0,2026-09-25T11:14:25.483732+00:00,2026-09-25T11:14:25.578737+00:00,95.00500000000001,True,ok
83,2026-09-25T09:45:20.584063+00:00,83,0,83,0,2026-09-25T11:14:26.274777+00:00,2026-09-25T11:14:26.365782+00:00,91.005,True,ok
86,2026-09-25T09:45:21.623027+00:00,83,0,83,0,2026-09-25T11:14:27.318837+00:00,2026-09-25T11:14:27.404842+00:00,86.005,True,ok
89,2026-09-25T09:45:22.671866+00:00,83,0,83,0,2026-09-25T11:14:28.361897+00:00,2026-09-25T11:14:28.452902+00:00,91.005,True,ok
92,2026-09-25T09:45:23.796792+00:00,83,0,83,0,2026-09-25T11:14:29.471960+00:00,2026-09-25T11:14:29.577966+00:00,106.006,True,ok
94,2026-09-25T09:45:24.722948+00:00,83,0,83,0,2026-09-25T11:14:30.328009+00:00,2026-09-25T11:14:30.504019+00:00,176.01,True,ok
97,2026-09-25T09:45:25.864741+00:00,83,0,83,0,2026-09-25T11:14:31.554079+00:00,2026-09-25T11:14:31.644084+00:00,90.005,True,ok
99,2026-09-25T09:45:26.590584+00:00,83,0,83,0,2026-09-25T11:14:32.280121+00:00,2026-09-25T11:14:32.372126+00:00,92.00500000000001,True,ok
102,2026-09-25T09:45:27.635796+00:00,83,0,83,0,2026-09-25T11:14:33.329181+00:00,2026-09-25T11:14:33.417186+00:00,88.005,True,ok
105,2026-09-25T09:45:28.678043+00:00,83,0,83,0,2026-09-25T11:14:34.371240+00:00,2026-09-25T11:14:34.459245+00:00,88.005,True,ok
108,2026-09-25T09:45:29.744329+00:00,83,0,83,0,2026-09-25T11:14:35.430301+00:00,2026-09-25T11:14:35.525306+00:00,95.00500000000001,True,ok
111,2026-09-25T09:45:30.807162+00:00,83,0,83,0,2026-09-25T11:14:36.500362+00:00,2026-09-25T11:14:36.588367+00:00,88.005,True,ok
113,2026-09-25T09:45:31.622222+00:00,83,0,83,0,2026-09-25T11:14:37.315409+00:00,2026-09-25T11:14:37.403414+00:00,88.005,True,ok
116,2026-09-25T09:45:32.674439+00:00,83,0,83,0,2026-09-25T11:14:38.362469+00:00,2026-09-25T11:14:38.455474+00:00,93.00500000000001,True,ok
119,2026-09-25T09:45:33.761631+00:00,83,0,83,0,2026-09-25T11:14:39.448531+00:00,2026-09-25T11:14:39.542536+00:00,94.00500000000001,True,ok
121,2026-09-25T09:45:34.539627+00:00,83,0,83,0,2026-09-25T11:14:40.225575+00:00,2026-09-25T11:14:40.320581+00:00,95.006,True,ok
124,2026-09-25T09:45:35.723032+00:00,83,0,83,0,2026-09-25T11:14:41.413643+00:00,2026-09-25T11:14:41.503648+00:00,90.005,True,ok
127,2026-09-25T09:45:36.826758+00:00,83,0,83,0,2026-09-25T11:14:42.521706+00:00,2026-09-25T11:14:42.607711+00:00,86.005,True,ok
130,2026-09-25T09:45:37.853777+00:00,83,0,83,0,2026-09-25T11:14:43.544765+00:00,2026-09-25T11:14:43.634770+00:00,90.005,True,ok
132,2026-09-25T09:45:38.538197+00:00,83,0,83,0,2026-09-25T11:14:44.231804+00:00,2026-09-25T11:14:44.318809+00:00,87.005,True,ok
135,2026-09-25T09:45:39.578137+00:00,83,0,83,0,2026-09-25T11:14:45.271864+00:00,2026-09-25T11:14:45.358869+00:00,87.005,True,ok
138,2026-09-25T09:45:40.607207+00:00,83,0,83,0,2026-09-25T11:14:46.302923+00:00,2026-09-25T11:14:46.387928+00:00,85.005,True,ok
141,2026-09-25T09:45:41.639312+00:00,83,0,83,0,2026-09-25T11:14:47.331982+00:00,2026-09-25T11:14:47.419987+00:00,88.005,True,ok
144,2026-09-25T09:45:42.671536+00:00,83,0,83,0,2026-09-25T11:14:48.364041+00:00,2026-09-25T11:14:48.452046+00:00,88.005,True,ok
147,2026-09-25T09:45:43.800589+00:00,83,0,83,0,2026-09-25T11:14:49.493105+00:00,2026-09-25T11:14:49.581110+00:00,88.005,True,ok
149,2026-09-25T09:45:44.508905+00:00,83,0,83,0,2026-09-25T11:14:50.199146+00:00,2026-09-25T11:14:50.289151+00:00,90.005,True,ok
152,2026-09-25T09:45:45.674769+00:00,83,0,83,0,2026-09-25T11:14:51.325210+00:00,2026-09-25T11:14:51.455217+00:00,130.007,True,ok
155,2026-09-25T09:45:46.780870+00:00,83,0,83,0,2026-09-25T11:14:52.472276+00:00,2026-09-25T11:14:52.561281+00:00,89.005,True,ok
158,2026-09-25T09:45:47.831129+00:00,83,0,83,0,2026-09-25T11:14:53.525336+00:00,2026-09-25T11:14:53.611341+00:00,86.005,True,ok
160,2026-09-25T09:45:48.518227+00:00,83,0,83,0,2026-09-25T11:14:54.211375+00:00,2026-09-25T11:14:54.298380+00:00,87.005,True,ok
163,2026-09-25T09:45:49.591248+00:00,83,0,83,0,2026-09-25T11:14:55.286437+00:00,2026-09-25T11:14:55.371441+00:00,85.00399999999999,True,ok
166,2026-09-25T09:45:50.746685+00:00,83,0,83,0,2026-09-25T11:14:56.427502+00:00,2026-09-25T11:14:56.526508+00:00,99.006,True,ok
169,2026-09-25T09:45:51.872393+00:00,83,0,83,0,2026-09-25T11:14:57.563567+00:00,2026-09-25T11:14:57.651572+00:00,88.005,True,ok
171,2026-09-25T09:45:52.595528+00:00,83,0,83,0,2026-09-25T11:14:58.285608+00:00,2026-09-25T11:14:58.375613+00:00,90.005,True,ok
174,2026-09-25T09:45:53.725899+00:00,83,0,83,0,2026-09-25T11:14:59.409672+00:00,2026-09-25T11:14:59.505678+00:00,96.006,True,ok
177,2026-09-25T09:45:54.843972+00:00,83,0,83,0,2026-09-25T11:15:00.525736+00:00,2026-09-25T11:15:00.623742+00:00,98.006,True,ok
179,2026-09-25T09:45:55.680999+00:00,83,0,83,0,2026-09-25T11:15:01.285780+00:00,2026-09-25T11:15:01.460790+00:00,175.01,True,ok
182,2026-09-25T09:45:56.739131+00:00,83,0,83,0,2026-09-25T11:15:02.428845+00:00,2026-09-25T11:15:02.518850+00:00,90.005,True,ok
185,2026-09-25T09:45:57.881537+00:00,83,0,83,0,2026-09-25T11:15:03.562910+00:00,2026-09-25T11:15:03.660916+00:00,98.006,True,ok
187,2026-09-25T09:45:58.709503+00:00,83,0,83,0,2026-09-25T11:15:04.399958+00:00,2026-09-25T11:15:04.488963+00:00,89.005,True,ok
190,2026-09-25T09:45:59.772662+00:00,83,0,83,0,2026-09-25T11:15:05.464019+00:00,2026-09-25T11:15:05.552024+00:00,88.005,True,ok
193,2026-09-25T09:46:00.830515+00:00,83,0,83,0,2026-09-25T11:15:06.521079+00:00,2026-09-25T11:15:06.610084+00:00,89.005,True,ok
195,2026-09-25T09:46:01.582843+00:00,83,0,83,0,2026-09-25T11:15:07.273122+00:00,2026-09-25T11:15:07.362127+00:00,89.005,True,ok
198,2026-09-25T09:46:02.687238+00:00,83,0,83,0,2026-09-25T11:15:08.377185+00:00,2026-09-25T11:15:08.466190+00:00,89.005,True,ok
201,2026-09-25T09:46:03.731248+00:00,83,0,83,0,2026-09-25T11:15:09.419245+00:00,2026-09-25T11:15:09.510250+00:00,91.005,True,ok
204,2026-09-25T09:46:04.800951+00:00,83,0,83,0,2026-09-25T11:15:10.482306+00:00,2026-09-25T11:15:10.580311+00:00,98.005,True,ok
206,2026-09-25T09:46:05.625170+00:00,83,0,83,0,2026-09-25T11:15:11.301353+00:00,2026-09-25T11:15:11.404358+00:00,103.005,True,ok
209,2026-09-25T09:46:06.816965+00:00,83,0,83,0,2026-09-25T11:15:12.504421+00:00,2026-09-25T11:15:12.595427+00:00,91.006,True,ok
212,2026-09-25T09:46:07.851497+00:00,83,0,83,0,2026-09-25T11:15:13.542481+00:00,2026-09-25T11:15:13.630486+00:00,88.005,True,ok
214,2026-09-25T09:46:08.533387+00:00,83,0,83,0,2026-09-25T11:15:14.226520+00:00,2026-09-25T11:15:14.312525+00:00,86.005,True,ok
217,2026-09-25T09:46:09.577958+00:00,83,0,83,0,2026-09-25T11:15:15.264579+00:00,2026-09-25T11:15:15.356585+00:00,92.006,True,ok
