measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Turntable clockwise,ms.motor.turntable_cw,12,6.0,2026-09-25 13:12:06.972626+00:00,2026-09-25 13:12:07.352648+00:00,0.380022,0.380022,True
actuator_on,Sawing,ms.motor.saw,1,1.0,2026-09-25 13:07:51.582019+00:00,2026-09-25 13:07:53.420124+00:00,1.838105,1.838105,True
actuator_on,Sawing,ms.motor.saw,2,2.0,2026-09-25 13:08:38.275689+00:00,2026-09-25 13:08:39.730772+00:00,1.4550830000000001,1.4550830000000001,True
actuator_on,Sawing,ms.motor.saw,3,3.0,2026-09-25 13:09:31.755748+00:00,2026-09-25 13:09:33.253834+00:00,1.498086,1.498086,True
actuator_on,Sawing,ms.motor.saw,4,4.0,2026-09-25 13:10:24.831784+00:00,2026-09-25 13:10:26.376872+00:00,1.545088,1.545088,True
actuator_on,Sawing,ms.motor.saw,5,5.0,2026-09-25 13:11:26.993339+00:00,2026-09-25 13:11:28.551428+00:00,1.5580889999999998,1.5580889999999998,True
actuator_on,Sawing,ms.motor.saw,6,6.0,2026-09-25 13:12:05.408537+00:00,2026-09-25 13:12:06.975626+00:00,1.567089,1.567089,True
actuator_on,MS conveyor,ms.motor.conveyor,1,1.0,2026-09-25 13:07:54.474184+00:00,2026-09-25 13:07:56.776316+00:00,2.302132,2.302132,True
actuator_on,MS conveyor,ms.motor.conveyor,2,2.0,2026-09-25 13:08:41.213857+00:00,2026-09-25 13:08:43.237973+00:00,2.024116,2.024116,True
actuator_on,MS conveyor,ms.motor.conveyor,3,3.0,2026-09-25 13:09:34.470903+00:00,2026-09-25 13:09:36.816038+00:00,2.345135,2.345135,True
actuator_on,MS conveyor,ms.motor.conveyor,4,4.0,2026-09-25 13:10:27.604943+00:00,2026-09-25 13:10:53.115402+00:00,25.510459,25.510459,True
actuator_on,MS conveyor,ms.motor.conveyor,5,5.0,2026-09-25 13:11:29.809500+00:00,2026-09-25 13:11:32.035628+00:00,2.226128,2.226128,True
actuator_on,MS conveyor,ms.motor.conveyor,6,6.0,2026-09-25 13:12:08.127692+00:00,2026-09-25 13:12:10.249813+00:00,2.122121,2.122121,True
actuator_on,Sorting conveyor,sl.motor.conveyor,1,1.0,2026-09-25 13:07:54.542188+00:00,2026-09-25 13:07:59.960498+00:00,5.41831,5.41831,True
actuator_on,Sorting conveyor,sl.motor.conveyor,2,2.0,2026-09-25 13:08:41.279861+00:00,2026-09-25 13:08:48.676284+00:00,7.396423,7.396423,True
actuator_on,Sorting conveyor,sl.motor.conveyor,3,3.0,2026-09-25 13:09:34.523906+00:00,2026-09-25 13:09:40.952274+00:00,6.428368,6.428368,True
actuator_on,Sorting conveyor,sl.motor.conveyor,4,4.0,2026-09-25 13:10:27.672946+00:00,2026-09-25 13:10:57.692663+00:00,30.019717,30.019717,True
actuator_on,Sorting conveyor,sl.motor.conveyor,5,5.0,2026-09-25 13:11:29.877504+00:00,2026-09-25 13:11:35.515827+00:00,5.638323,5.638323,True
actuator_on,Sorting conveyor,sl.motor.conveyor,6,6.0,2026-09-25 13:12:08.191696+00:00,2026-09-25 13:12:13.842019+00:00,5.650323,5.650323,True
actuator_on,Sorting white,sl.valve.white,1,1.0,2026-09-25 13:08:00.321518+00:00,2026-09-25 13:08:00.674539+00:00,0.353021,0.353021,True
actuator_on,Sorting white,sl.valve.white,2,5.0,2026-09-25 13:11:35.517827+00:00,2026-09-25 13:11:35.883848+00:00,0.366021,0.366021,True
actuator_on,Sorting white,sl.valve.white,3,6.0,2026-09-25 13:12:13.844019+00:00,2026-09-25 13:12:14.199039+00:00,0.35502,0.35502,True
actuator_on,Sorting red,sl.valve.red,1,3.0,2026-09-25 13:09:41.337296+00:00,2026-09-25 13:09:41.696317+00:00,0.359021,0.359021,True
actuator_on,Sorting red,sl.valve.red,2,4.0,2026-09-25 13:10:58.055684+00:00,2026-09-25 13:10:58.478708+00:00,0.423024,0.423024,True
actuator_on,Sorting blue,sl.valve.blue,1,2.0,2026-09-25 13:08:48.680284+00:00,2026-09-25 13:08:49.071307+00:00,0.391023,0.391023,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,1,1.0,2026-09-25 13:07:23.761427+00:00,2026-09-25 13:07:28.808716+00:00,5.047289,5.047289,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,2,2.0,2026-09-25 13:08:10.504101+00:00,2026-09-25 13:08:15.636394+00:00,5.132293,5.132293,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,3,3.0,2026-09-25 13:09:03.604138+00:00,2026-09-25 13:09:08.887440+00:00,5.283302,5.283302,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,4,4.0,2026-09-25 13:09:56.877185+00:00,2026-09-25 13:10:02.140486+00:00,5.263301,5.263301,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,5,5.0,2026-09-25 13:10:59.284755+00:00,2026-09-25 13:11:04.340044+00:00,5.055289,5.055289,True
stage_elapsed,Burning,rise:ms.process.burn -> fall:ms.process.burn,6,6.0,2026-09-25 13:11:37.467938+00:00,2026-09-25 13:11:42.398220+00:00,4.930282,4.930282,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,1,1.0,2026-09-25 13:07:28.808716+00:00,2026-09-25 13:07:30.933838+00:00,2.125122,2.121122,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,2,2.0,2026-09-25 13:08:15.636394+00:00,2026-09-25 13:08:17.610507+00:00,1.974113,1.974113,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,3,3.0,2026-09-25 13:09:08.887440+00:00,2026-09-25 13:09:10.888555+00:00,2.001115,2.001115,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,4,4.0,2026-09-25 13:10:02.140486+00:00,2026-09-25 13:10:04.119599+00:00,1.979113,1.979113,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,5,5.0,2026-09-25 13:11:04.340044+00:00,2026-09-25 13:11:06.435163+00:00,2.095119,2.095119,True
stage_elapsed,Oven release,fall:ms.process.burn -> rise:ms.motor.transfer_oven,6,6.0,2026-09-25 13:11:42.398220+00:00,2026-09-25 13:11:44.913364+00:00,2.5151440000000003,2.514144,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,1,1.0,2026-09-25 13:07:30.933838+00:00,2026-09-25 13:07:39.888350+00:00,8.954512,8.949512,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,2,2.0,2026-09-25 13:08:17.610507+00:00,2026-09-25 13:08:26.515017+00:00,8.90451,8.886508000000001,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,3,3.0,2026-09-25 13:09:10.888555+00:00,2026-09-25 13:09:19.887069+00:00,8.998514,8.993513,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,4,4.0,2026-09-25 13:10:04.119599+00:00,2026-09-25 13:10:13.281123+00:00,9.161524,9.156524000000001,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,5,5.0,2026-09-25 13:11:06.435163+00:00,2026-09-25 13:11:15.297670+00:00,8.862507,8.857507,True
stage_elapsed,Transfer from oven,rise:ms.motor.transfer_oven -> rise:ms.motor.transfer_turntable,6,6.0,2026-09-25 13:11:44.913364+00:00,2026-09-25 13:11:53.807873+00:00,8.894509,8.894509,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,1,1.0,2026-09-25 13:07:39.888350+00:00,2026-09-25 13:07:50.439953+00:00,10.551603,10.207584,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,2,2.0,2026-09-25 13:08:26.515017+00:00,2026-09-25 13:08:37.180627+00:00,10.665610000000001,10.284588,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,3,3.0,2026-09-25 13:09:19.887069+00:00,2026-09-25 13:09:30.235661+00:00,10.348592,10.004573,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,4,4.0,2026-09-25 13:10:13.281123+00:00,2026-09-25 13:10:23.710720+00:00,10.429597,9.730557,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,5,5.0,2026-09-25 13:11:15.297670+00:00,2026-09-25 13:11:25.700265+00:00,10.402595,9.970571,True
stage_elapsed,Transfer to turntable,rise:ms.motor.transfer_turntable -> rise:ms.motor.turntable_cw,6,6.0,2026-09-25 13:11:53.807873+00:00,2026-09-25 13:12:04.139464+00:00,10.331591,9.903567,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,1,1.0,2026-09-25 13:07:50.439953+00:00,2026-09-25 13:07:54.474184+00:00,4.034231,3.323189,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,2,1.0,2026-09-25 13:07:53.417123+00:00,2026-09-25 13:07:54.474184+00:00,1.057061,0.34902,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,3,2.0,2026-09-25 13:08:37.180627+00:00,2026-09-25 13:08:41.213857+00:00,4.03323,3.247185,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,4,2.0,2026-09-25 13:08:39.727772+00:00,2026-09-25 13:08:41.213857+00:00,1.486085,0.70004,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,5,3.0,2026-09-25 13:09:30.235661+00:00,2026-09-25 13:09:34.470903+00:00,4.235242,3.4371970000000003,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,6,3.0,2026-09-25 13:09:33.250834+00:00,2026-09-25 13:09:34.470903+00:00,1.220069,0.425024,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,7,4.0,2026-09-25 13:10:23.710720+00:00,2026-09-25 13:10:27.604943+00:00,3.894223,3.465198,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,8,4.0,2026-09-25 13:10:26.373872+00:00,2026-09-25 13:10:27.604943+00:00,1.231071,0.805046,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,9,5.0,2026-09-25 13:11:25.700265+00:00,2026-09-25 13:11:29.809500+00:00,4.109235,3.31919,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,10,5.0,2026-09-25 13:11:28.548428+00:00,2026-09-25 13:11:29.809500+00:00,1.261072,0.474027,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,11,6.0,2026-09-25 13:12:04.139464+00:00,2026-09-25 13:12:08.127692+00:00,3.988228,3.210183,True
stage_elapsed,Sawing,rise:ms.motor.turntable_cw -> rise:ms.motor.conveyor,12,6.0,2026-09-25 13:12:06.972626+00:00,2026-09-25 13:12:08.127692+00:00,1.155066,0.380022,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,1,1.0,2026-09-25 13:07:54.474184+00:00,2026-09-25 13:07:56.776316+00:00,2.302132,2.302132,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,2,2.0,2026-09-25 13:08:41.213857+00:00,2026-09-25 13:08:43.237973+00:00,2.024116,2.024116,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,3,3.0,2026-09-25 13:09:34.470903+00:00,2026-09-25 13:09:36.816038+00:00,2.345135,2.345135,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,4,4.0,2026-09-25 13:10:27.604943+00:00,2026-09-25 13:10:53.115402+00:00,25.510459,25.510459,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,5,5.0,2026-09-25 13:11:29.809500+00:00,2026-09-25 13:11:32.035628+00:00,2.226128,2.226128,True
stage_elapsed,Move to sorting,rise:ms.motor.conveyor -> fall:ms.motor.conveyor,6,6.0,2026-09-25 13:12:08.127692+00:00,2026-09-25 13:12:10.249813+00:00,2.122121,2.122121,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,1,1.0,2026-09-25 13:07:56.776316+00:00,2026-09-25 13:08:06.274859+00:00,9.498543,3.537203,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,2,2.0,2026-09-25 13:08:43.237973+00:00,2026-09-25 13:08:59.755918+00:00,16.517945,5.829333999999999,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,3,3.0,2026-09-25 13:09:36.816038+00:00,2026-09-25 13:09:52.713947+00:00,15.897909,4.4952570000000005,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,4,4.0,2026-09-25 13:10:53.115402+00:00,2026-09-25 13:10:54.939506+00:00,1.824104,1.824104,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,5,5.0,2026-09-25 13:11:32.035628+00:00,2026-09-25 13:11:33.689722+00:00,1.654094,1.654094,True
stage_elapsed,Sorting,fall:ms.motor.conveyor -> next preparation/burn,6,6.0,2026-09-25 13:12:10.249813+00:00,2026-09-25 13:12:17.405223+00:00,7.15541,3.947226,True
